Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
748,,1,,"VIA LA URIBE–CALARCA KM 75+750,Calarcá,Quindio",4.515277,-75.65212,02,11,2024,1,,,,,1,,4,,,2,2,,CAMION-MOTOCICLETA-MOTOCICLETA,1,1,,
749,,1,,"KM 78+191 URIBE-CALARCA FRENTE MOTEL EL CASTILLO,Calarcá,Quindio",4.494664,-75.68638,09,11,2024,1,,,,,1,,2,1,1,1,1,,TRACTOCAMION-MOTOCICLETA,1,1,,
750,,1,,"CARRERA 23 CALLE 41,Calarcá,Quindio",4.527994,-75.640474,10,11,2024,1,,,,,,1,2,,,1,1,,CAMIONETA-MOTOCICLETA,,2,,
751,,1,,"VIA LA URIBE–CALARCA KM 81+684,Calarcá,Quindio",4.521469,-75.643521,19,11,2024,1,,,,,1,,3,,1,,2,,CAMPERO-MOTOCICLETA,2,,,
752,,1,,"VIA BARCELONA - RIO VERDE FRENTE A ENTRADAD BARRIO URIBE,Calarcá,Quindio",4.51199,-75.652334,21,11,2024,1,,,,,,1,2,,,,,2,CAMIONETA-MOTOCICLETA,,2,,
753,,1,,"KM 0+900 VIA VIA ARMENIA–IBAGUE,Calarcá,Quindio",4.529008,-75.634824,25,11,2024,1,,,,,1,,1,1,,1,1,,AUTOMOVIL- MOTICICLETA,,2,,
754,,1,,"CRA 25 ENTRE CLLES 40 Y 39 CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,28,11,2024,,1,,,,,1,2,,2,,,,MOTOCICLETA-PEATON,,1,,
755,,,1,"KM 79+520 URIBE-CALARCA,Calarcá,Quindio",4.5095461,-75.6565342,30,11,2024,1,,,,,1,,2,1,,1,2,,TRACTOCAMION-MOTOCICLETA-TRACTOCAMION,1,1,,
756,,1,,"CALLE 37 CON CARRERA 17 CALARCA,Calarcá,Quindio",4.527935,-75.6359021,30,11,2024,1,,,,,,1,2,1,2,1,,,AUTOMOVIL-MOTICICLETA,,2,,
757,,1,,"VIA CALARCA LA URIBE KM 83+004,Calarcá,Quindio",4.522706,-75.642031,04,12,2024,1,,,,,,1,3,1,,2,2,,CAMIONETA-MOTOCICLETA-MOTOCICLETA,,3,,
758,,1,,"VIA CALARCA–CIRCASIA KILOMETRO 2+200,Calarcá,Quindio",4.5276933,-75.632571,09,12,2024,1,,,,,1,,2,,,1,1,,MOTOCICLETA-CAMIONETA,,2,,
759,,1,,"VEREDA POTOSI FRENTE AL CONJUNTO LOS CIPRESES LOTE 1,Calarcá,Quindio",4.485644,-75.672696,13,12,2024,,,1,,,1,,1,1,,2,,,MOTOCICLETA,,1,,
760,,1,,"VIA ARMENIA - CALARCA KM 1+800,Calarcá,Quindio",4.5257966,-75.6248044,14,12,2024,1,,,,,,1,2,1,,,3,,AUTOMOVIL-MOTOCICLETA,,2,,
761,,1,,"KM 82+464 URIBE - CALARCA FRENTE AL MARIPOSARIO,Calarcá,Quindio",4.5152625,-75.6494219,15,12,2024,1,,,,,1,,2,1,,3,,,MOTOCICLETA,,1,,
762,,1,,"CARRERA 18 FRENTE AL 36+56 VARIANTE SUR,Calarcá,Quindio",4.526789,-75.637341,15,12,2024,1,,,,,,1,1,1,,,2,,MOTOCICLETA,,1,,
763,,1,,"URIBE - CALARCA KILOMETRO 83+040,Calarcá,Quindio",4.5266936,-75.6409574,17,12,2024,1,,,,,,1,,1,,1,,,MOTOCICLETA,,1,,
764,,1,,"CARRERA 7 CON CALLE 14 ESQUINA BARCELONA,Calarcá,Quindio",4.427169,-75.714613,17,12,2024,1,,,,,,1,2,,,1,1,,MOTOCILCLETA -AUTOMOVIL,,2,,
765,,,1,"VIA VIA CALARCA–CIRCASIA KM 2+550,Calarcá,Quindio",4.5276933,-75.632571,21,12,2024,1,,,,,1,,2,1,,1,2,,AUTOMOVIL-MOTOCICLETA,,2,,
766,,1,,"KM 83+500 URIBE - CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,23,12,2024,1,,,,,1,,2,,,1,1,,AUTOMOVIL - AUTOMOVIL,,2,,
767,,1,,"CARRERA 18 FRENTE CASA 36+62,Calarcá,Quindio",4.5234114,-75.6418811,25,12,2024,1,,,,,,1,2,1,,2,,1,MOTOCICLETA-MOTOCICLETA,,2,,
768,,,1,"VIA VIA ARMENIA–IBAGUE KM 3+200 CALARCA,Calarcá,Quindio",4.525478,-75.619189,25,12,2024,1,,,,,,1,1,,,,1, ,MOTOCICLETA,,1,,
769,,1,,"CRA 25 ENTRE CLLS 39 Y 38 CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,25,12,2024,1,,,,,,1,2,1,,2,,1,CAMPERO-MOTOCICLETA,,2,,
770,,1,,"KM 3+000 VIA ARMENIA–IBAGUE CALARCA,Calarcá,Quindio",4.525536,-75.620669,27,12,2024,1,,,,,1,,2,1,,1,2,,AUTOMOVIL - MOTOCICLETA,,2,,
771,,1,,"CARRERA 16 FRENTE N° 44+13,Calarcá,Quindio",4.5311442,-75.6330595,27,12,2024,,1,,,,,1,2,,,,,1,AUTOMOVIL - PEATON,,1,,
772,1,,,"KM 1+230 VIA VIA ARMENIA–IBAGUE,Calarcá,Quindio",4.529346,-75.631993,29,12,2024,1,,,,,1,,2,,,1,1,,CAMIONETA - AUTOMOVIL,,2,,
773,,1,,"CALARCA- CIRCACIA KM 1+100,Calarcá,Quindio",4.544894,-75.642688,01,01,2025,1,,,,,1,,2,1,,2,,1,Automovil-Motocicleta,,2,,
774,,1,,"VIA LA URIBE–CALARCA KM 84+370,Calarcá,Quindio",4.523657,-75.641222,01,01,2025,1,,,,,,1,1,2,,2,1,,Automovil-Automovil,,2,,
775,,1,,"CRA 18 CON CALLE 34,Calarcá,Quindio",4.52571,-75.638345,02,01,2025,1,,,,,,1,1,1,,1,,,Motocicleta-Camioneta,,2,,
776,,1,,"BARRIO LLLANITOS PILOTO FRENTE MZNZ 18 # 17 CALARACA,Calarcá,Quindio",4.512615,-75.646291,02,01,2025,,1,,,,,1,,,1,,1,,Motocicleta,,1,,
777,,1,,"VIA VIA ARMENIA–IBAGUE KM 4+700 CALARCA,Calarcá,Quindio",4.528237,-75.630553,08,01,2025,1,,,,,,1,2,,,1,,1,Camioneta-Motocicleta,,2,,
778,,1,,"KILOMETRO 80+467 LA ESPANOLA -CALARCA,Calarcá,Quindio",4.521221,-75.643856,09,01,2025,1,,,,,,,2,,,1,1,,Automovil-Motocicleta,,2,,
779,,1,,"CARRERA 25 CON CARREARA 18 VARIANTE SUR,Calarcá,Quindio",4.5288108,-75.6416001,11,01,2025,1,,,,,,1,1,1,,1,,1,Motocicleta-Motocicleta,,2,,
780,,1,,"VIA LA PAILA–CALARCA KM 77+200,Calarcá,Quindio",4.5266936,-75.6409574,12,01,2025,1,,,,,1,,2,,,1,1,,Automovil-Motocicleta,,2,,
781,,1,,"AVENIDA COLON ENTRE CRA 27 Y 26 CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,13,01,2025,,1,,,,,1,3,,,,1,2,Motocicleta-Motocicleta,,2,,
782,,1,,"KM 3+849 VIA CALARCA - CIRCACIA,Calarcá,Quindio",4.5276933,-75.632571,17,01,2025,1,,,,,1,,2,,,1,1,,Motocicleta-Automovil,,2,,
783,,1,,"BARRIO VILLA ASTRID FRENTA M C # 7,Calarcá,Quindio",4.516042,-75.6445307,23,01,2025,1,,,,,,1,2,,,,1,1,Bicicleta-Motocicleta,,2,,
784,,1,,"KM 1+210 VIA CALARCA - ARMENIA,Calarcá,Quindio",4.528772,-75.631856,31,01,2025,1,,,,,1,,2,,,,1,1,Bicicleta-Bicicleta,,2,,
785,,1,,"CRA 26 CON CLLE 34 CALARCA,Calarcá,Quindio",4.5274462,-75.642897,02,02,2025,1,,,,,,1,1,,1,,,,Bicicleta-Motocicleta,,2,,
786,,1,,"CRA 17 CON CALLE 41 # 40+65,Calarcá,Quindio",4.5328922,-75.6434819,04,02,2025,1,,,,,,1,2,,,,2,,Motocicleta-Camión,1,1,,
787,,1,,"AVENIDA COLON FRENTE N° 19+48,Calarcá,Quindio",4.5222917,-75.6478148,07,02,2025,1,,,,,,,2,,,1,1,,Automovil-Motocicleta,,2,,
788,,1,,"LLANITOS GUARALA FRENTE MZ 8 CASA 16,Calarcá,Quindio",4.5094836,-75.6459887,07,02,2025,1,,,,,,1,1,2,,,3,,Motocicleta-Motocicleta,,2,,
789,,1,,"VIA VIA ARMENIA–IBAGUE KM 0+600,Calarcá,Quindio",4.527356,-75.636681,09,02,2025,1,,,,,1,,2,1,,1,1,,Motocicleta-Automovil,,2,,
790,,,1,"URIBE - CALARCA KM 85+700,Calarcá,Quindio",4.5095461,-75.6565342,11,02,2025,,,,1,,,,,2,,,2,,Motocicleta,,1,,
791,,1,,"VIA LA URIBE–CALARCA KM 81+680,Calarcá,Quindio",4.521469,-75.643521,13,02,2025,1,,,,,1,,3,,,1,1,1,Motocicleta-Automovil,,2,,
792,,1,,"VIA LA URIBE–CALARCA KM 83+500 CALARCA,Calarcá,Quindio",4.523289,-75.641955,13,02,2025,1,,,,,,1,2,,,1,,1,Motocicleta-Bicicleta,,2,,
793,,1,,"KM 81+850 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.521592,-75.6432,14,02,2025,1,,,,,1,,1,2,,1,2,,Motocicleta-Motocicleta,,2,,
794,,1,,"VIA LA URIBE–CALARCA KM 2+200 FRENTE AL HOTEL KARLAKA,Calarcá,Quindio",4.501034,-75.667976,16,02,2025,1,,,,,1,,1,1,,1,1,,Motocicleta-Motocicleta,,2,,
795,,1,,"KM 85+645 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.524412,-75.63773,17,02,2025,,1,,,,,1,2,,,,1,1,Camión  ,1,,,
796,,1,,"AVENIDA COLON FRENTE N° 22+54,Calarcá,Quindio",4.5222917,-75.6478148,18,02,2025,,1,,,,,1,2,,,,,2,Automovil,,1,,
797,,1,,"KM 3+100 FRENTE RESTAURANTE BAR IMPERIO LLANERO,Calarcá,Quindio",4.449462,-75.71597,19,02,2025,1,,,,,1,,2,,,,2,,Motocicleta-Motocicleta,,2,,
798,,1,,"KM 81+845 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.521594,-75.643304,19,02,2025,,1,,,,1,,2,,,,2,,Automovil,,1,,
799,,1,,"KM 4+005 VIA VIA ARMENIA–IBAGUE,Calarcá,Quindio",4.527101,-75.62536,21,02,2025,1,,,,,,1,2,,,,1,1,Camioneta-Motocicleta,,2,,
800,,1,,"BARRIO VERACRUZ MANZANA 22 CASA 6,Calarcá,Quindio",4.5198225,-75.6529549,25,02,2025,,,,1,,,1,1,1,,,,2,Bus,1,,,
801,,1,,"CARRERA 12 CALLE 20 BARCELONA,Calarcá,Quindio",4.4293236,-75.718392,26,02,2025,1,,,,,,1,2,,,1,,1,Motocicleta-Buseta,1,1,,
802,,1,,"KM 84+600 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.523543,-75.640832,03,03,2025,,1,,,,,1,2,,,1,,1,Motocicleta,,1,,
803,,1,,"VIA ARMENIA - CALARCA KILOMETRO 1+590,Calarcá,Quindio",4.527427,-75.631278,05,03,2025,1,,,,,,,2,,,,2,,Motocicleta-Microbus,1,1,,
804,,1,,"VIA LA URIBE–CALARCA KM 81+680,Calarcá,Quindio",4.521469,-75.643521,15,03,2025,1,,,,,,,10,9,1,4,11,3,Tractocamión-Bus-Automovil-Motocicleta-Camioneta-,3,2,,
805,,1,,"KM 4+005 VIA VIA ARMENIA–IBAGUE,Calarcá,Quindio",4.527101,-75.62536,18,03,2025,1,,,,,,,2,,,2,,,Camión - Motocicleta,1,1,,
806,,1,,"CARRERA 25 CALLE 32,Calarcá,Quindio",4.5220202,-75.6441195,23,03,2025,1,,,,,,1,1,1,,,2,,Motocicleta-Motocicleta,,2,,
807,,1,,"CARRERA 18 CALLE 34 VARIANTE SUR CALARCA,Calarcá,Quindio",4.5267277,-75.6409236,19,03,2025,1,,,,,,1,2,1,,,3,,Automovil-Motocicleta,,2,,
808,,1,,"VIA LA URIBE–CALARCA KM 82+700 CALARCA,Calarcá,Quindio",4.522223,-75.642125,23,03,2025,1,,,,,,1,3,4,1,1,5,,Campero-Camión,1,1,,
809,,1,,"VIA ARMENIA–IBAGUE KM 3+500,Calarcá,Quindio",4.525789,-75.62169,31,03,2025,,,1,,,1,,1,1,,,2,,Motocicleta,,1,,
810,,1,,"VEREDA PUERTO RICO FRENTE AL INGRESO FINCA EL RETIRO,Calarcá,Quindio",4.506524,-75.645544,01,04,2025,1,,,,,1,,1,,,,1,,Motocicleta,,1,,
811,,1,,"CRA 25 CALLE 36 ESQUINA FRENTE A TABERNA CAPRICHOS,Calarcá,Quindio",4.5285043,-75.6416414,02,04,2025,1,,,,,,,1,2,,1,2,,Motocicleta-Motocicleta,,2,,
812,,1,,"CALARCA- CIRCACIA KM 0+120,Calarcá,Quindio",4.536815,-75.640734,05,04,2025,1,,,,,,,1,2,1,,1,,Motocicleta-Motocicleta,,2,,
813,,1,,"CRA 26 CALLE 31 FRENTE 30+89,Calarcá,Quindio",4.525535,-75.643563,07,04,2025,1,,,,,,1,1,1,,,1,1,Motocicleta-Camioneta,,2,,
814,,1,,"VIA LA URIBE–CALARCA KM 82+900,Calarcá,Quindio",4.522395,-75.642071,11,04,2025,1,,,,,,1,2,,,1,,1,Tractocamión-Bicicleta,1,1,,
815,,1,,"VIA LA URIBE–CALARCA KM 77+400,Calarcá,Quindio",4.518892,-75.644851,17,04,2025,1,,,,,,,3,1,,,4,,Motocicleta-Bus,,2,,
816,,1,,"CRA 26 ENTRE CALLE 44 Y 45,Calarcá,Quindio",4.534109,-75.640371,19,04,2025,1,,,,,,1,2,,,2,,,Automovil-Camioneta,,2,,
817,,1,,"VIA LA URIBE–CALARCA KM 84+470,Calarcá,Quindio",4.523619,-75.641069,19,04,2025,1,,,,,,1,2,1,,,2,1,Motocicleta-Automovil,,2,,
818,,1,,"KM 2+800 VIA VIA ARMENIA–IBAGUE FRENTE A LA ENTRADA DEL PARQUE RES. ALTOS DEL RIO,Calarcá,Quindio",4.540547,-75.650034,30,04,2025,1,,,,,,1,2,1,1,1,1,,Camioneta-Motocicleta,,2,,
819,,1,,"VIA CALARCA - CIRCACIA KM 2+150,Calarcá,Quindio",4.5276933,-75.632571,02,05,2025,1,,,,,1,,1,,,,1,,Motocicleta,,1,,
820,,1,,"BARRIO PORVENIR FRENTE LA MZNA D # 4,Calarcá,Quindio",4.517942,-75.64526,03,05,2025,1,,,,,,,2,,,,1,1,Automovil-Motocicleta,,2,,
821,,1,,"VIA LA URIBE–CALARCA KM 84+852,Calarcá,Quindio",4.523438,-75.639961,08,05,2025,1,,,,,,1,,,,1,1,,Motocicleta-Automovil,,2,,
822,1,,,"KM 83+600 URIBE- CALARCA FRENTE BARRIO MARGARITA HORMAZA,Calarcá,Quindio",4.5198295,-75.648506,10,05,2025,1,,,,,,,1,,,,1,,Campero,,1,,
823,,1,,"VIA LA URIBE–CALARCA KM 71+100,Calarcá,Quindio",4.498282,-75.677354,11,05,2025,,1,,,,1,,1,1,,,,2,Motocicleta-Peatón,,1,,
824,,1,,"VIA VIA ARMENIA–IBAGUE KM 0+950,Calarcá,Quindio",4.529008,-75.634824,16,05,2025,1,,,,,1,,2,,,1,1,,Bicicleta-Motocicleta,2,,,
825,,1,,"KM 3+030 VIA CALARCA- CIRCACIA,Calarcá,Quindio",4.5276933,-75.632571,24,05,2025,,1,,,,1,,2,,,,2,,Motocicleta -peaton,,1,,
826,,13,10,"VIA ARMENIA–IBAGUE 5+400,Calarcá,Quindio",4.526242,-75.636071,24,05,2025,1,,,,,1,,21,2,3,11,8,,Buseta,1,,,
827,,1,,"CRA 24 ENTRE CLLES 31 Y 32 CALARCA,Calarcá,Quindio",4.5250222,-75.6423159,25,05,2025,,1,,,,,1,1,1,,1,,1,automovil - Peatón,,1,,
828,,,1,"VIA LA URIBE–CALARCA KM 21+320,Calarcá,Quindio",4.392073,-75.757782,26,05,2025,,1,,,,1,,2,,,,,1,Tracto camión - Peatón,1,,,
829,,1,,"CARRERA 26 CON CALLE 31 ESQUINA,Calarcá,Quindio",4.525535,-75.643563,26,05,2025,,,1,,,,1,1,,,,1,,Motocicleta,,1,,
830,,1,,"BARRIO RULETA CALLE 11 # 11+51,Calarcá,Quindio",4.513871,-75.644604,29,05,2025,1,,,,,,1,2,1,,,,3,Motocicleta - Camioneta,,2,,
831,,1,,"CARRERA 24 CON CALLE 31,Calarcá,Quindio",4.5250222,-75.6423159,05,06,2025,1,,,,,,1,1,1,1,,1,,Motocicleta-Campero,,2,,
832,,1,,"VEREDA LA BELLA FRENTE A FINCA LA KAREN Y LA ZULIA,Calarcá,Quindio",4.500171,-75.672374,06,06,2025,1,,,,,1,,2,1,2,,,1,Camioneta-Motocicleta,,2,,
833,,1,,"VIA VIA ARMENIA–IBAGUE KM 1+300,Calarcá,Quindio",4.528772,-75.631856,07,06,2025,1,,,,,1,,2,1,,1,2,,Motocicleta - Automovil,,2,,
834,,1,,"VIA LA URIBE–CALARCA KM 78+900,Calarcá,Quindio",4.519975,-75.644049,09,06,2025,1,,,,,1,,2,,,1,1,,Camión -  Mototriciclo,2,,,
835,,1,,"KM 84+400 VIA LA URIBE- IBAGUE,Calarcá,Quindio",4.52364,-75.641163,15,06,2025,1,,,,,,,2,,,,2,,Tractocamión- Microbus,2,,,
836,,1,,"VIA CALARCA BARCELONA FINCA CAMCUM CALARCA,Calarcá,Quindio",4.5115341,-75.6523613,18,06,2025,1,,,,,1,,1,1,,1,,1,Motocicleta -  Bicicleta,,2,,
837,,1,,"CARRERA 22 CALLE 31,Calarcá,Quindio",4.5253758,-75.6432515,24,06,2025,1,,,,,,1,1,1,,1,1,,Motocicleta - Automovil,,2,,
838,,,1,"VIA LA PAILA–CALARCA KM 77+400,Calarcá,Quindio",4.5266936,-75.6409574,29,06,2025,1,,,,,1,,2,1,,2,1,,Tracto Camión - Motocicleta,1,1,,
839,,1,,"VIA VIA ARMENIA–IBAGUE KM 1+850,Calarcá,Quindio",4.528978,-75.628477,05,07,2025,1,,,,,1,,1,,,,1,,Motocicleta,,1,,
840,,1,,"CALLE 39 CON CRA 27,Calarcá,Quindio",4.5308829,-75.6423,09,07,2025,1,,,,,,1,1,1,,2,,,Motocicleta - Motocicleta,,2,,
841,,1,,"KM 83+200 FRENTE A LA CARCEL,Calarcá,Quindio",4.5169419,-75.6516111,06,07,2025,1,,,,,,,2,,,1,,1,Camioneta - Motocicleta,,2,,
842,,1,,"KM 72+200 VIA CALARCA BARCELONA,Calarcá,Quindio",4.4999434,-75.6727579,10,07,2025,1,,,,,1,,2,,,,1,1,Motocicleta - Motocicleta,,2,,
843,,1,,"CRA 25 ENTRE CALLE 38+37,Calarcá,Quindio",4.530551,-75.643604,08,07,2025,1,,,,,,1,1,1,,,1,1,Automovil - Motocicleta,,2,,
844,,1,,"VIA LA PAILA–CALARCA KM 85+380,Calarcá,Quindio",4.5266936,-75.6409574,13,07,2025,1,,,,,1,,1,,,1,,,Tractocamión,1,,,
845,,1,,"VIA VIA ARMENIA–IBAGUE KM 2+850,Calarcá,Quindio",4.525415,-75.622642,14,07,2025,1,,,,,1,,1,,,,1,,Motocicleta,,1,,
846,,1,,"CRA 23 CLLE 34 ESQUINA,Calarcá,Quindio",4.5267277,-75.6409236,14,07,2025,1,,,,,,1,2,,,,2,,Motocicleta - Automovil,1,1,,
847,,1,,"KM 1+100 VIA CALARCA - ARMENIA,Calarcá,Quindio",4.528772,-75.631856,14,07,2025,1,,,,,1,,1,1,,,1,1,Motocicleta - Camioneta,2,,,
848,,1,,"VIA LA URIBE–CALARCA FRENTE A LA FINCA LA MADRILENA,Calarcá,Quindio",4.465515,-75.746306,16,07,2025,1,,,,,,,,2,,1,1,,Camioneta - Motocicleta,2,,,
849,,1,,"CRA 25 ENTRE CLLS 38 Y 37 CALARCA,Calarcá,Quindio",4.5288108,-75.6416001,28,07,2025,,1,,,,,1,1,1,,2,,,Motocicleta- Peatón,,1,,
850,,1,,"CARRERA 26 CALLE 30AVENIDA COLON CALARCA,Calarcá,Quindio",4.524498,-75.644019,05,08,2025,1,,,,,,1,2,,1,1,,,Motocicleta-Motocicleta,,2,,
851,,1,,"VIA CALARCA BARCELONA FRENTE A PLANTA DE TRATAMIENTO ACUEDUCTO ENTRADA CALLE LARGA,Calarcá,Quindio",4.5115341,-75.6523613,09,08,2025,1,,,,,1,,3,,,2,1,,Motocicleta-Automovil,2,,,
852,,1,,"CRA 12 CALLE 10 BARCELONA CALARCA,Calarcá,Quindio",4.427794,-75.719542,07,08,2025,1,,,,,,1,2,,,1,1,,Motocicleta-Motocicleta,,2,,
853,,1,,"CRA 26 CON CALLE 35,Calarcá,Quindio",4.528075,-75.642615,10,08,2025,1,,,,,,1,2,,,1,1,,Motocicleta-Automovil,,2,,
854,,1,,"KM 1+650 VIA VIA ARMENIA–IBAGUE,Calarcá,Quindio",4.527427,-75.631278,11,08,2025,1,,,,,1,,,2,,1,1,,Automovil-Motocicleta,,1,,
855,,1,,"VIA CALARCA–CIRCASIA KILOMETRO 1+280,Calarcá,Quindio",4.5076838,-75.5812264,17,08,2025,1,,,,,1,,3,2,,,5,,Motocicleta-Automovil-Motocicleta,,3,,
856,,1,,"KM 75+100 FRENTE DE LA FINCA VILLA ANTONELLA,Calarcá,Quindio",4.5159744,-75.6466277,17,08,2025,1,,,,,1,,2,,,,2,,Automovil - Campero,,2,,
857,,1,,"KM 77+300 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.518812,-75.64501,19,08,2025,1,,,,,1,,2,,,,2,,Motocicleta - Camioneta,,2,,
858,,1,,"VIA VIA ARMENIA–IBAGUE KM 4+450,Calarcá,Quindio",4.529455,-75.62899,22,08,2025,1,,,,,1,,2,,,1,,1,Motocicleta - Automovil,,2,,
859,,1,,"KM 0+300 VIA VIA CALARCA–CIRCASIA,Calarcá,Quindio",4.5276933,-75.632571,21,08,2025,1,,,,,,1,2,1,,1,2,,Automovil- Automovil- Automovil,1,2,,
860,,1,,"AVENIDA COLON CALLE 21,Calarcá,Quindio",4.5177686,-75.6534961,23,08,2025,1,,,,,,1,2,,,,,2,Automovil - Motocicleta,,2,,
861,,1,,"53.27 METROS ANTES DE LA FINCA LAS VALVINAS QUEBRADANEGRA,Calarcá,Quindio",4.44361,-75.669404,24,08,2025,1,,,,,,,2,1,,,3,,Automovil - Motocicleta,,2,,
862,,1,,"PARCELACION SAN JOSE VER AGUACATAL,Calarcá,Quindio",4.5266936,-75.6409574,29,08,2025,1,,,,,1,,2,,1,1,,,Motocicleta - Camioneta,,2,,
863,,1,,"CARRERA 26 CALLE 31 ESQUINA,Calarcá,Quindio",4.525535,-75.643563,30,08,2025,1,,,,,1,,1,1,,,2,,Camioneta - Motocicleta,,2,,
864,,,1,"ANTIGUA VIA LA URIBE–CALARCA KRA 71+00,Calarcá,Quindio",4.504956,-75.666923,02,09,2025,,1,,,,1,,1,,,,1,1,Camioneta - Peatón,,1,,
865,,1,,"CALLE 39 CON CARRERA 18 ESQUINA,Calarcá,Quindio",4.5288098,-75.6365809,03,09,2025,1,,,,,,,2,,,,2,,Motocicleta - Automovil,,2,,
866,,1,,"VIA LA URIBE–CALARCA KM 71+000,Calarcá,Quindio",4.498192,-75.677537,08,09,2025,1,,,,,1,,2,,,,2,,Automovil - Motocicleta,,2,,
867,,1,,"VIA LA URIBE–CALARCA KM 85+250,Calarcá,Quindio",4.523795,-75.638903,08,09,2025,1,,,,,,1,2,1,1,1,1,,Motocicleta - Motocicleta,,2,,
868,,1,,"VIA LA URIBE–CALARCA KILOMETRO 82+050 RESTAURANTE PARADOR DE CAMIONEROS INSERCOL,Calarcá,Quindio",4.50717,-75.654561,10,09,2025,,1,,,,,,2,,,1,1,,Tracto camión - Peatón,,1,,
869,,1,,"KM 82+400 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.521909,-75.64242,10,09,2025,1,,,,,,,2,,,1,1,,Automovil - Motocicleta,,2,,
870,,1,,"CALLE 44 CON CRA 23 ,Calarcá,Quindio",4.527994,-75.640474,11,09,2025,1,,,,,1,,2,,,1,1,,Motocicleta - Automovil,1,1,,
871,,1,,"LA BELLA - QUEBRADANEGRA 200MTS DESPUES DE ENTRADA HDA BOLIVIA,Calarcá,Quindio",4.500171,-75.672374,12,09,2025,1,,,,,1,,2,1,2,,1,,Motocicleta - Automovil,,2,,
872,,1,,"CRA 25 CON CALLE 30 ESQUINA,Calarcá,Quindio",4.524655,-75.6431642,13,09,2025,1,,,,,,,,2,1,1,,,Motocicleta - Motocicleta,,2,,
873,,1,,"URIBE - CALARCA KILOMETRO 80+950,Calarcá,Quindio",4.5266936,-75.6409574,15,09,2025,1,, ,,,1,,2,,,,2,,Camión - Motocicleta,1,1,,
874,,1,,"KM 81+800 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.521542,-75.643455,16,09,2025,1,,,,,,,1,1,,1,1,,Motocicleta - Tractocamión,,2,,
875,,1,,"VIA CALARCA–CIRCASIA KILOMETRO 0+250,Calarcá,Quindio",4.5076838,-75.5812264,21,09,2025,1,,,,,,1,3,,,2,1,,Automovil - Motocicleta,,2,,
876,,1,,"VIA LA URIBE–CALARCAKM 74+300,Calarcá,Quindio",4.504603,-75.657858,21,09,2025,1,,,,,1,,1,1,,1,1,,Motocicleta -Motocicleta,,2,,
877,,1,,"VIA VIA ARMENIA–IBAGUE KM 3+150,Calarcá,Quindio",4.525734,-75.619843,08,10,2025,1,,,,,,1,,,,,1,1,Bus- Motocicleta,1,1,,
878,,1,,"VIA VIA ARMENIA–IBAGUE KM 5+500,Calarcá,Quindio",4.525671,-75.635741,08,10,2025,1,,,,,1,,2,1,,,3,,Camión - Automovil,,2,,
879,,1,,"VIA URIBE- CALARCA KILOMETRO 83+350,Calarcá,Quindio",4.5266936,-75.6409574,14,10,2025,1,,,,,,1,1,1,,1,1,,Motocicleta-Motocicleta,,2,,
880,,1,,"VIA ARMENIA–IBAGUE KM 3+800,Calarcá,Quindio",4.526095,-75.624446,28,10,2025,1,,,,,1,,2,,,,2,,Automovil - Camión,1,1,,
881,,1,,"CARRERA 24 CALLEA 41,Calarcá,Quindio",4.531434,-75.6399104,03,11,2025,1,,,,,,1,2,1,1,,1,1,Motocicleta - Camioneta,,2,,
882,,1,,"VIA LA URIBE–CALARCA IBAGUE,Calarcá,Quindio",4.528747,-75.635246,07,11,2025,1,,,,,,1,3,,,,1,2,Automovil - Motocicleta,,2,,
883,,1,,"LLANITOS GUARALA FRENTE MZNA 40 C # 11,Calarcá,Quindio",4.5094836,-75.6459887,11,11,2025,1,,,,,,1,2,,,1,,1,Motocicleta - Automovil,,2,,
884,,1,,"AVENIDA COLON FRENTE A LA MANZANA A CASA 3 BARRIO VERACRUZ,Calarcá,Quindio",4.520137,-75.6500,13,11,2025,,1,,,,,1,1,1,,1,,1,Motocicleta - Peatón,,1,,
