Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
649,,1,,"VIA LA URIBE–CALARCA KM 85+200,Calarcá,Quindio",4.52374,-75.639057,16,03,2024,,1,,,,,1,2,,1,,1,,MOTOCICLETA,,1,,
650,,1,,"KM 1+800 VIA VIA CALARCA–CIRCASIA,Calarcá,Quindio",4.5276933,-75.632571,19,03,2024,1,,,,,,1,,2,,,2,,AUTOMOVIL-MOTOCICLETA,,2,,
651,,1,,"VIA IBAGUE CIRCASIA ENTRADA BARRIO GAITAN,Calarcá,Quindio",4.5398302,-75.6396191,19,03,2024,1,,,,,,,2,1,,3,,,MOTOCICLETA-MOTOCICLETA,,2,,
652,,1,,"VIA VIA ARMENIA–IBAGUE KM 6+820,Calarcá,Quindio",4.530847,-75.633817,23,03,2024,1,,,,,1,,2,,,,1,1,MOTOCICLETA-CAMPERO,,2,,
653,,1,,"VIA LA URIBE–CALARCA KM 85+400,Calarcá,Quindio",4.524047,-75.638299,24,03,2024,1,,,,,,1,,2,,2,,,MOTOCICLETA,,1,,
654,,1,,"CALLE 45 CON CRA 25 CALARCA,Calarcá,Quindio",4.534244,-75.6396205,26,03,2024,,1,,,,,1,2,,,1,1,,AUTOMOVIL,,1,,
655,,1,,"CALLE 45 FRENTE EL N. 24+79,Calarcá,Quindio",4.534244,-75.6396205,27,03,2024,,1,,,,,1,2,,,,1,,TRACTOCAMION,1,,,
656,,1,,"CRA 29 CON CLLE 37 CALARCA,Calarcá,Quindio",4.5300755,-75.6440755,29,03,2024,1,,,,,,1,1,,,1,,,MOTOCICLETA,,1,,
657,,1,,"MZNA A CASA # 7 VILKLA ASTRID,Calarcá,Quindio",4.516042,-75.6445307,31,03,2024,,,,,,,,2,,,1,,1,MOTOCICLETA-MOTOCICLETA,,1,,
658,,1,,"CARRERA 24 CALLE 40 ESQUINA,Calarcá,Quindio",4.5307824,-75.6401809,05,04,2024,,1,,,,,1,1,1,,1,1,,MOTOCICLETA,,1,,
659,,1,,"VIA LA URIBE–CALARCA KM 78+020,Calarcá,Quindio",4.51917,-75.644346,06,04,2024,,1,,,,1,,1,,,1,,,MOTOCICLETA-BICICLETA,,1,,
660,,1,,"CRA 24 CALLE 30,Calarcá,Quindio",4.5241522,-75.6419001,06,04,2024,1,,,,,,1,1,,,,1,,MOTOCICLETA-CARGA,1,1,,
661,,1,,"VIA VIA ARMENIA–IBAGUE KM 6+900 CALARCA,Calarcá,Quindio",4.53189,-75.635019,11,04,2024,1,,,,,1,,1,,,1,,,CAMION,1,,,
662,,1,,"VIA CALARCA–CIRCASIA 0+200,Calarcá,Quindio",4.5076838,-75.5812264,16,04,2024,1,,,,,1,,2,,,2,,,MOTOCICLETA-CAMIONETA,,1,,
663,,,1,"VIA ARMENIA–IBAGUE KM 3+200,Calarcá,Quindio",4.525478,-75.619189,17,04,2024,,1,,,,1,,1,1,,,1,1,AUTOMOVIL,,1,,
664,,1,,"KM 84+920 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.52344,-75.639848,18,04/,2024,1,,,,,,1,1,1,,,1,1,MOTOCICLETA-AUTOMOVIL,,1,,
665,,1,,"VIA LA MARIA CALARCA ENTRADA Y SALIDA FINCA LOS CHORROS,Calarcá,Quindio",4.525181,-75.633908,20,04,2024,1,,,,,,1,2,,,1,1,,MOTOCICLETA-AUTOMOVIL,,2,,
666,,1,,"VIA CALARACA CIRCASIA KM 1+600,Calarcá,Quindio",4.5076838,-75.5812264,21,04,2024,1,,,,,1,,2,,,,2,,MOTOCICLETA-MOTOCICLETA,,2,,
